Nom;Echantillons;Moyenne;EcartType;MoyenneTemps
Sel_0_0;100;-53.145;1.1465693228589418;0.25
Sel_0_23;100;-53.08;1.4680434309486605;0.245
Sel_0_45;100;-53.1;1.3853490243227224;0.24765
Sel_0_90;100;-53.035;1.4499303361879077;0.24765
Sel_5_0;100;-53.145;1.1465693228589418;0.25
Sel_5_23;100;-53.145;1.1465693228589418;0.25
Sel_5_45;100;-53.05;1.395338559980945;0.2425
Sel_5_90;100;-53.145;1.1465693228589418;0.25
Sel_15_0;100;-53.145;1.1465693228589418;0.25
Sel_15_23;100;-53.145;1.1465693228589418;0.25
Sel_15_45;100;-53.145;1.1465693228589418;0.25
Sel_15_90;100;-53.145;1.1465693228589418;0.25
Sel_25_0;100;-53.145;1.1465693228589418;0.25
Sel_25_23;100;-53.145;1.1465693228589418;0.25
Sel_25_45;100;-53.145;1.1465693228589418;0.25
Sel_25_90;100;-53.145;1.1465693228589418;0.25
Sel_40_0;100;-53.145;1.1465693228589418;0.25
Sel_40_23;100;-53.145;1.1465693228589418;0.25
Sel_40_45;100;-53.145;1.1465693228589418;0.25
Sel_40_90;100;-53.145;1.1465693228589418;0.25
Sel_60_0;100;-53.145;1.1465693228589418;0.25
Sel_60_23;100;-53.145;1.1465693228589418;0.25
Sel_60_45;100;-53.145;1.1465693228589418;0.25
Sel_60_90;100;-53.145;1.1465693228589418;0.25
Sel_80_0;100;-53.145;1.1465693228589418;0.25
Sel_80_23;100;-53.145;1.1465693228589418;0.25
Sel_80_45;100;-53.145;1.1465693228589418;0.25
Sel_80_90;100;-53.145;1.1465693228589418;0.25
Sel_100_0;100;-53.145;1.1465693228589418;0.25
Sel_100_23;100;-53.145;1.1465693228589418;0.25
Sel_100_45;100;-53.145;1.1465693228589418;0.25
Sel_100_90;100;-53.145;1.1465693228589418;0.25
Sel_120_0;100;-53.145;1.1465693228589418;0.25
Sel_120_23;100;-53.145;1.1465693228589418;0.25
Sel_120_45;100;-53.145;1.1465693228589418;0.25
Sel_120_90;100;-53.145;1.1465693228589418;0.25
Sel_140_0;100;-53.145;1.1465693228589418;0.25
Sel_140_23;100;-53.145;1.1465693228589418;0.25
Sel_140_45;100;-53.145;1.1465693228589418;0.25
Sel_140_90;100;-53.145;1.1465693228589418;0.25
Sel_160_0;100;-53.145;1.1465693228589418;0.25
Sel_160_23;100;-53.145;1.1465693228589418;0.25
Sel_160_45;100;-53.145;1.1465693228589418;0.25
Sel_160_90;100;-53.145;1.1465693228589418;0.25
Sel_180_0;100;-53.145;1.1465693228589418;0.25
Sel_180_23;100;-53.145;1.1465693228589418;0.25
Sel_180_45;100;-53.145;1.1465693228589418;0.25
Sel_180_90;100;-53.145;1.1465693228589418;0.25
Sel_200_0;100;-53.145;1.1465693228589418;0.25
Sel_200_23;100;-53.145;1.1465693228589418;0.25
Sel_200_45;100;-53.145;1.1465693228589418;0.25
Sel_200_90;100;-53.145;1.1465693228589418;0.25
